Obs,Model,Cost,Processor Count,Speed (GHz),Cores per Processor,RAM (GB),HD Count,HD Size (GB),Total Cores,Total Storage,Predicted Price
1,R620,234.99,2,2.6,6,32,2,450,12,900,
2,R410,173.95,2,2.26,4,16,2,2000,8,4000,
3,R410,124.16,2,2.66,4,24,2,146,8,292,
4,R720,320.95,2,2.3,6,16,0,0,12,0,
5,R710,353.56,2,3.06,6,128,0,0,12,0,
6,R410,159.99,1,2.66,4,16,1,2000,4,2000,
7,R610,314.95,2,2.66,6,32,6,300,12,1800,
8,2950,140.22,2,2.33,2,24,6,146,4,876,
9,R420,238.16,2,2.2,6,48,1,500,12,500,
10,R420,299.99,2,2.2,6,24,4,2000,12,8000,
11,R620,415.31,2,2.2,8,128,4,600,16,2400,
12,R420,239.99,2,2,6,32,2,3000,12,6000,
13,R410,354.95,2,2.93,6,64,2,1000,12,2000,
14,R420,199.99,2,2,6,32,0,0,12,0,
15,R410,315.99,2,2.4,6,64,2,1000,12,2000,
16,R420,310.95,2,2.4,6,32,2,300,12,600,
17,R720,397.55,2,2.5,6,32,2,600,12,1200,
18,R720,370.95,2,2.3,6,32,0,0,12,0,
19,R410,266.95,2,2.66,6,32,0,0,12,0,
20,R410,354.95,2,2.93,6,64,2,1000,12,2000,
21,R420,249.99,2,2,6,64,0,0,12,0,
22,R620,239.99,2,2,6,32,0,0,12,0,
23,R620,349.99,2,2,8,64,2,900,16,1800,
24,R410,283.95,2,2.4,6,32,2,500,12,1000,
25,R410,280.95,2,2.93,4,64,0,0,8,0,
26,R620,369.99,2,2,6,128,0,0,12,0,
27,R720,325.81,2,2,6,32,4,146,12,584,
28,R720,468.93,2,2.4,4,96,4,146,8,584,
29,R720,279.99,2,2,8,24,0,0,16,0,
30,R510,136.03,2,2.8,4,16,0,0,8,0,
31,R720,690.2,2,2.4,4,32,16,300,8,4800,
32,R620,637.42,2,2.6,4,48,10,269.2,8,2692,
33,R720,355.95,2,2.5,6,16,0,0,12,0,
34,R620,359.99,2,2,6,128,0,0,12,0,
35,R710,445.95,2,2.8,6,128,6,400,12,2400,
36,R620,369.99,2,2,8,64,0,0,16,0,
37,R620,519.99,2,2,8,128,4,900,16,3600,
38,R720,372.51,2,2,6,96,0,0,12,0,
39,R720,506.49,2,2.9,8,8,4,600,16,2400,
40,R620,639.99,2,2.8,8,64,0,0,16,0,
41,R630,676.61,2,2.4,8,64,8,600,16,4800,
42,R620,620.17,2,2.6,8,32,10,269.2,16,2692,
43,R720,325.81,2,2,6,32,4,146,12,584,
44,R610,285.95,2,2.8,6,16,4,600,12,2400,
45,R420,189.99,2,2,6,16,0,0,12,0,
46,R720,386.96,2,2.6,8,16,4,600,16,2400,
47,R620,599,2,2.9,8,64,0,0,16,0,
48,R720,499,2,2,6,64,0,0,12,0,
49,R420,199.99,2,2,6,32,0,0,12,0,
50,R410,330,2,2.4,2,64,2,1000,4,2000,
51,R720,304.95,2,2.3,6,16,0,0,12,0,
52,R410,173.95,2,2.26,4,16,1,2000,8,2000,
53,R620,289.99,2,2.6,6,64,2,450,12,900,
54,R610,129.99,2,2.4,4,32,0,0,8,0,
55,R720,319.99,2,2,8,32,0,0,16,0,
56,R210,211.96,2,3.4,4,8,1,1000,8,1000,
57,R410,100.47,2,2.13,4,8,0,0,8,0,
58,R320,149.99,1,1.8,4,24,2,300,4,600,
59,R720,269.99,2,2,6,32,0,0,12,0,
60,R610,135,2,2,4,8,0,0,8,0,
61,R720,449.99,2,2.7,8,64,2,600,16,1200,
62,R710,255.95,2,2.4,4,32,0,0,8,0,
63,R720,369.99,2,2,6,64,0,0,12,0,
64,R620,369.99,2,2.6,6,128,2,450,12,900,
65,2950,115,2,3,2,4,0,0,4,0,
66,R420,204.8,2,1.8,4,16,0,0,8,0,
67,R620,399.99,2,2.6,6,32,2,1000,12,2000,
68,R710,292.53,2,3.06,6,64,0,0,12,0,
69,R610,326.95,2,2.66,6,64,0,0,12,0,
70,R720,739.99,2,3,10,64,2,900,20,1800,
71,R720,464.95,2,2.5,6,64,0,0,12,0,
72,R720,819.99,2,3,10,64,4,1000,20,4000,